NOMBRE_IES,NOMBRE_CARRERA,Mean(INGRESO_MENSUAL_USD),Count(SITUACION_LABORAL),Mean(MESES_CONSEGUIR_EMPLEO),AÑO,NOMBRE_IES_LIMPIO,TOTAL_ESTUDIANTES,TOTAL_DOCENTES,TOTAL_ARTICULOS,NOMBRE_IES (Right),TIPO_IES,TIPO_FINANCIAMIENTO,NOMBRE_CARRERA (Right),CAMPO_AMPLIO,NIVEL_FORMACIÓN,MODALIDAD,PROVINCIA,CANTÓN,ESTADO,NOMBRE_IES_LIMPIO (Right)
ESCUELA POLITECNICA NACIONAL,INGENIERIA AGROINDUSTRIAL,548.7537419354845,1550,11.96774193548387,2015,ESCUELA POLITECNICA NACIONAL,11100,697,208,ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,INGENIERIA AGROINDUSTRIAL,AGRICULTURA,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,ESCUELA POLITECNICA NACIONAL
ESCUELA POLITECNICA NACIONAL,INGENIERIA AGROINDUSTRIAL,548.7537419354845,1550,11.96774193548387,2016,ESCUELA POLITECNICA NACIONAL,10459,870,224,ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,INGENIERIA AGROINDUSTRIAL,AGRICULTURA,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,ESCUELA POLITECNICA NACIONAL
ESCUELA POLITECNICA NACIONAL,INGENIERIA AGROINDUSTRIAL,548.7537419354845,1550,11.96774193548387,2017,ESCUELA POLITECNICA NACIONAL,8802,777,228,ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,INGENIERIA AGROINDUSTRIAL,AGRICULTURA,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,ESCUELA POLITECNICA NACIONAL
ESCUELA POLITECNICA NACIONAL,INGENIERIA AGROINDUSTRIAL,548.7537419354845,1550,11.96774193548387,2018,ESCUELA POLITECNICA NACIONAL,7917,630,453,ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,INGENIERIA AGROINDUSTRIAL,AGRICULTURA,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,ESCUELA POLITECNICA NACIONAL
ESCUELA POLITECNICA NACIONAL,INGENIERIA AGROINDUSTRIAL,548.7537419354845,1550,11.96774193548387,2019,ESCUELA POLITECNICA NACIONAL,7179,581,469,ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,INGENIERIA AGROINDUSTRIAL,AGRICULTURA,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,ESCUELA POLITECNICA NACIONAL
ESCUELA POLITECNICA NACIONAL,INGENIERIA AGROINDUSTRIAL,548.7537419354845,1550,11.96774193548387,2020,ESCUELA POLITECNICA NACIONAL,7082,534,502,ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,INGENIERIA AGROINDUSTRIAL,AGRICULTURA,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,ESCUELA POLITECNICA NACIONAL
ESCUELA POLITECNICA NACIONAL,INGENIERIA AGROINDUSTRIAL,548.7537419354845,1550,11.96774193548387,2021,ESCUELA POLITECNICA NACIONAL,7459,514,286,ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,INGENIERIA AGROINDUSTRIAL,AGRICULTURA,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,ESCUELA POLITECNICA NACIONAL
ESCUELA POLITECNICA NACIONAL,INGENIERIA AGROINDUSTRIAL,548.7537419354845,1550,11.96774193548387,2022,ESCUELA POLITECNICA NACIONAL,7686,519,362,ESCUELA POLITECNICA NACIONAL,UNIVERSIDAD,PÚBLICA,INGENIERIA AGROINDUSTRIAL,AGRICULTURA,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,ESCUELA POLITECNICA NACIONAL
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2015,UNIVERSIDAD CENTRAL DEL ECUADOR,40968,1766,92,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2016,UNIVERSIDAD CENTRAL DEL ECUADOR,37995,2171,170,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2017,UNIVERSIDAD CENTRAL DEL ECUADOR,32758,2111,359,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2019,UNIVERSIDAD CENTRAL DEL ECUADOR,40975,2130,222,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2020,UNIVERSIDAD CENTRAL DEL ECUADOR,41318,1556,233,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ODONTOLOGIA,534.9540946372234,1585,11.90599369085173,2015,UNIVERSIDAD CENTRAL DEL ECUADOR,40968,1766,92,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,UNIVERSIDAD CENTRAL DEL ECUADOR
