NOMBRE_IES_LIMPIO,total_matricula,total_docentes,total_articulos,cluster
ESCUELA POLITECNICA NACIONAL,203052,15366,8196,0
PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,16106063,1724108,262461,1
UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL,3637905,251227,24447,2
UNIVERSIDAD CENTRAL DEL ECUADOR,3686266,184946,20444,2
UNIVERSIDAD DE CUENCA,3211173,177828,35868,2
UNIVERSIDAD DE LAS AMERICAS,3962588,280784,35812,2
UNIVERSIDAD ESTATAL DE MILAGRO,1616288,33728,12528,0
UNIVERSIDAD NACIONAL DE LOJA,3273897,173976,32043,2
UNIVERSIDAD SAN FRANCISCO DE QUITO,1276176,119792,45280,0
UNIVERSIDAD TECNICA DE AMBATO,2437244,143925,58501,2
UNIVERSIDAD TECNICA DE MACHALA,1384665,69840,8970,0
UNIVERSIDAD TECNICA DEL NORTE,1749654,92484,18864,0
